adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[27, 9648, 53]",521029,en,56.915,26-06-2019,Annabelle Comes Home,FALSE,6.4,3263
FALSE,"[14, 28, 18]",37958,en,53.457,10-11-2011,Immortals,FALSE,5.98,2406
FALSE,"[35, 27]",273477,en,52.447,23-10-2015,Scouts Guide to the Zombie Apocalypse,FALSE,6.517,1768
FALSE,"[16, 878, 28, 18]",18491,ja,58.041,19-07-1997,Neon Genesis Evangelion: The End of Evangelion,FALSE,8.33,1417
FALSE,"[27, 53]",760161,en,51.475,27-07-2022,Orphan: First Kill,FALSE,6.693,1883
FALSE,"[80, 18, 28]",101,en,56.835,14-09-1994,Léon: The Professional,FALSE,8.313,13881
FALSE,"[80, 53, 28]",1142740,en,49.547,29-06-2023,Murder City,FALSE,7.4,5
FALSE,"[27, 18, 53]",112355,it,49.528,14-10-1972,What the Peeper Saw,FALSE,5.8,36
FALSE,"[35, 10749]",862431,en,49.527,02-12-2022,Love and Love Not,FALSE,4.8,5
FALSE,"[18, 28, 10752]",616,en,49.509,05-12-2003,The Last Samurai,FALSE,7.577,6394
FALSE,"[10749, 35]",454983,en,49.506,11-05-2018,The Kissing Booth,FALSE,7.225,6964
FALSE,"[28, 12, 80]",1637,en,49.489,09-06-1994,Speed,FALSE,7.12,5705
FALSE,"[35, 10751, 16]",462883,en,49.451,05-10-2017,Woody Woodpecker,FALSE,6.655,656
FALSE,"[28, 18, 36]",551271,en,49.439,08-09-2022,Medieval,FALSE,7.1,421
FALSE,"[28, 53]",423204,en,49.4,21-08-2019,Angel Has Fallen,FALSE,6.578,3228
FALSE,"[18, 10749]",707610,ko,49.36,06-05-2020,Bosomy Mom,FALSE,4.7,7
FALSE,"[12, 28, 53, 878]",9659,en,49.356,12-04-1979,Mad Max,FALSE,6.686,3969
FALSE,"[28, 53, 12]",447200,en,49.353,11-07-2018,Skyscraper,FALSE,6.317,4667
FALSE,"[16, 12, 35, 10751, 14, 27]",639721,en,49.352,01-10-2021,The Addams Family 2,FALSE,7.008,1188
FALSE,"[16, 10751, 35]",381693,en,49.341,05-01-2016,Kung Fu Panda: Secrets of the Scroll,FALSE,6.8,192
FALSE,"[37, 28]",11969,en,49.331,25-12-1993,Tombstone,FALSE,7.6,1917
FALSE,"[10749, 35]",50544,en,49.306,21-07-2011,Friends with Benefits,FALSE,6.649,7489
FALSE,"[16, 28, 12, 35, 14]",290271,ja,49.231,31-12-2014,One Piece: 3D2Y - Overcome Ace's Death! Luffy's Vow to His Friends,FALSE,6.961,155
FALSE,"[878, 28, 80, 53]",97020,en,49.228,30-01-2014,RoboCop,FALSE,5.851,5195
FALSE,"[27, 9648, 53]",480414,en,49.211,17-04-2019,The Curse of La Llorona,FALSE,5.694,2262
FALSE,"[80, 18, 53]",275,en,49.211,08-03-1996,Fargo,FALSE,7.869,7421
FALSE,"[80, 53]",500,en,49.203,02-09-1992,Reservoir Dogs,FALSE,8.131,13473
FALSE,"[18, 10752, 36]",14574,en,49.202,07-05-2008,The Boy in the Striped Pyjamas,FALSE,7.85,6630
FALSE,[27],1146143,en,49.165,22-12-2023,The Puppetman,FALSE,1,1
FALSE,"[16, 28, 878]",449574,ja,49.161,17-11-2017,Godzilla: Planet of the Monsters,FALSE,6.308,440
FALSE,"[18, 10749]",419743,en,49.124,30-11-2018,Disobedience,FALSE,6.988,804
FALSE,"[35, 10749]",1824,en,49.12,13-02-2004,50 First Dates,FALSE,6.9,6787
FALSE,"[9648, 35, 14]",22620,en,49.119,13-09-2009,Scooby-Doo! The Mystery Begins,FALSE,6.4,651
FALSE,"[35, 80]",9336,en,49.119,22-03-1984,Police Academy,FALSE,6.667,2451
FALSE,"[28, 14, 10770]",877703,en,49.114,18-01-2023,Teen Wolf: The Movie,FALSE,7.632,699
FALSE,[18],1374,en,49.073,21-11-1985,Rocky IV,FALSE,7.077,4095
FALSE,"[16, 35, 9648, 10751, 14]",17681,en,49.07,05-10-1999,Scooby-Doo! and the Witch's Ghost,FALSE,7.4,384
